order_id,date,age,gender,city,product_category,quantity,unit_sale,payment_method,total_sale
1001,2024-04-12,61,Female,Chennai,Electronics,4,4412,Net Banking,17648
1002,2024-12-14,25,Male,Chennai,Books,8,1424,Cash,11392
1003,2024-09-27,41,Female,Mumbai,Furniture,2,1255,Cash,2510
1004,2024-04-16,28,Male,Delhi,Clothing,3,1927,UPI,5781
1005,2024-03-12,34,Female,Mumbai,Electronics,1,3241,Cash,3241
1006,2024-07-07,25,Female,Chennai,Furniture,1,3586,Card,3586
1007,2024-01-21,52,Female,Kolkata,Books,3,1910,UPI,5730
1008,2024-04-12,52,Female,Kolkata,Furniture,5,3023,Cash,15115
1009,2024-05-01,50,Male,Bangalore,Electronics,3,2314,UPI,6942
1010,2024-08-02,22,Female,Mumbai,Furniture,1,4286,Cash,4286
1011,2024-11-26,59,Male,Mumbai,Grocery,1,813,Cash,813
1012,2024-03-28,56,Male,Bangalore,Furniture,8,3702,Cash,29616
1013,2024-04-09,58,Male,Bangalore,Clothing,2,4234,Card,8468
1014,2024-12-25,45,Male,Bangalore,Clothing,3,3622,Card,10866
1015,2024-05-31,24,Female,Chennai,Grocery,2,4368,UPI,8736
1016,2024-05-10,26,Male,Mumbai,Electronics,3,4848,Cash,14544
1017,2024-05-29,25,Male,Chennai,Clothing,7,4949,Cash,34643
1018,2024-11-04,29,Male,Bangalore,Books,1,1343,Card,1343
1019,2024-09-14,51,Female,Mumbai,Clothing,8,3809,Cash,30472
1020,2024-12-09,50,Female,Chennai,Clothing,2,1181,Card,2362
1021,2024-10-20,40,Female,Chennai,Electronics,3,555,Cash,1665
1022,2024-07-10,41,Female,Bangalore,Furniture,9,994,UPI,8946
1023,2024-10-03,54,Male,Mumbai,Clothing,7,1484,Cash,10388
1024,2024-06-09,52,Male,Bangalore,Grocery,4,2058,Cash,8232
1025,2024-11-09,61,Female,Mumbai,Furniture,5,3172,Net Banking,15860
1026,2024-01-22,57,Male,Kolkata,Books,2,2096,Card,4192
1027,2024-09-09,39,Male,Delhi,Electronics,8,4385,Cash,35080
1028,2024-08-23,44,Male,Delhi,Books,4,604,Cash,2416
1029,2024-12-10,52,Female,Delhi,Furniture,9,1314,Net Banking,11826
1030,2024-02-18,18,Female,Bangalore,Furniture,5,1631,Net Banking,8155
1031,2024-02-28,52,Male,Kolkata,Furniture,9,3540,Card,31860
1032,2024-06-18,54,Female,Mumbai,Books,4,923,Net Banking,3692
1033,2024-07-06,64,Female,Chennai,Furniture,5,1028,UPI,5140
1034,2024-09-27,31,Female,Mumbai,Books,9,233,Net Banking,2097
1035,2024-07-08,20,Female,Chennai,Furniture,8,2205,UPI,17640
1036,2024-06-23,18,Female,Mumbai,Grocery,3,3727,Card,11181
